Image Name,Exudates,Oedema,Vessel Count,Heamotomas,Bifurcations,Clarity,Diabetes Status
000c1434d8d7,25,0,8,4,41,0.8435235368696578,1
001639a390f0,5,0,19,2,82,0.8847368205799354,1
0024cdab0c1e,14,0,7,4,21,1.0,1
002c21358ce6,2,0,20,7,82,1.0,0
005b95c28852,150,0,14,1,18,0.3577674532738947,0
0083ee8054ee,372,0,18,2,51,1.0,1
0097f532ac9f,2,0,12,0,38,0.45457701655965,0
00a8624548a9,3,0,11,0,28,1.0,1
00b74780d31d,241,0,3,1,9,0.4149950433791365,1
00cb6555d108,36,0,9,5,40,0.9400108789006584,1
00cc2b75cddd,1,0,19,1,76,0.9490682028639535,0
00e4ddff966a,31,0,18,0,62,1.0,1
00f6c1be5a33,36,0,25,0,111,1.0,0
0104b032c141,184,0,24,0,43,1.0,1
0124dffecf29,0,0,5,6,56,1.0,1
0125fbd2e791,9,0,28,1,63,1.0,0
012a242ac6ff,21,0,8,9,112,1.0,1
014508ccb9cb,29,0,11,1,28,0.7713837470860088,0
0151781fe50b,146,0,10,0,42,0.7969038485133532,0
0161338f53cc,21,0,12,0,54,1.0,1
0180bfa26c0b,1,0,3,2,10,0.4624834158112142,1
0182152c50de,29,0,18,0,124,0.9593288991123438,0
01b3aed3ed4c,2,0,12,7,36,1.0,1
01c7808d901d,0,0,7,6,27,0.5426924052186005,1
01d9477b1171,31,0,10,1,53,0.7556734693877551,0
01eb826f6467,0,0,7,4,79,1.0,1
01f7bb8be950,286,0,18,8,30,0.4344969954929432,0
0212dd31f623,26,0,26,0,99,1.0,0
022f820027b8,95,0,18,0,32,1.0,0
0231642cf1c2,531,0,12,3,61,0.4160355085551363,0
0232dfea7547,6,0,27,8,108,1.0,0
02358b47ea89,29,0,15,0,50,0.6002748006446876,0
0243404e8a00,78,0,21,10,31,0.5153665777501689,1
025a169a0bb0,31,0,12,9,63,1.0,1
02685f13cefd,6,0,5,0,15,0.9738153040775428,1
026dcd9af143,0,0,19,0,80,0.276058647908061,1
02cd34a85b24,14,0,28,3,83,1.0,0
02da652c74b8,65,0,13,0,128,1.0,0
02dda30d3acf,88,0,8,15,39,0.4941308202222852,1
0304bedad8fe,2,0,24,0,99,1.0,0
0318598cfd16,56,0,10,1,47,0.8885832187259981,1
032d7b0b4bf6,42,0,8,3,43,0.2587655409791679,1
033f2b43de6d,57,0,7,0,16,0.2620906607337123,1
034cb07a550f,74,0,16,4,59,0.5219267923602307,1
03676c71ed1b,0,0,33,3,66,1.0,1
0369f3efe69b,0,0,13,4,59,0.8355395689337859,1
03747397839f,0,0,24,2,40,1.0,1
03a7f4a5786f,8,0,8,4,54,0.5778870489192462,1
03b373718013,17,0,12,0,59,0.8247318845150526,0
03c85870824c,5,0,16,14,124,1.0,1
03e25101e8e8,62,0,18,2,49,0.8876077166043038,1
03fd50da928d,129,0,9,0,33,1.0,1
03ff7d159f10,1,0,7,15,58,0.708057175575641,1
0415fc68b176,112,0,16,2,27,0.3530827803611387,1
041f09eec1e8,13,0,13,3,93,0.7940988098646271,1
0423237770a7,18,0,15,1,113,1.0,0
042470a92154,39,0,8,2,43,0.8383922129974234,1
04579e31e4be,9,0,26,2,105,1.0,0
04a6fc58dabc,13,0,18,1,63,0.7459011083391273,1
04ac765f91a1,8,0,24,4,86,1.0,1
04aef84a2cc1,43,0,3,0,7,0.5515220645372377,0
04d029cfb612,0,0,14,3,43,0.9611052308699032,1
04efb1a284cc,111,0,24,1,69,1.0,0
050bb1eafa76,77,0,7,0,27,0.8053396589096561,0
05113073b268,306,0,11,3,16,0.4584829722417763,0
05195a3db5e2,8,0,19,3,46,0.4609773833381048,0
0519b934f6b1,60,0,26,20,50,0.6501988341089509,1
052d9a3fe55a,58,0,12,3,31,0.2862435167523719,1
05339950962e,7,0,17,3,75,1.0,0
054b1b305160,1,0,23,5,176,1.0,0
0551676cc2aa,110,0,11,1,13,0.528386545465692,0
059bc89df7f4,115,0,10,1,62,1.0,1
05a5183c92d0,1,0,10,1,104,0.9119603288209072,1
05b1bb2bdb81,43,0,14,0,32,0.665562008527175,0
05cd0178ccfe,121,0,7,0,18,1.0,1
05e9126dfa5c,31,0,15,3,129,1.0,0
06024377d573,36,0,18,5,68,1.0,1
060e00d1e2ab,59,0,6,0,21,1.0,0
064af6592ba6,1,0,5,6,73,0.7137618093329516,1
06586082a24d,134,0,11,0,19,0.6801989284691833,0
0684311afdfc,49,0,6,5,52,0.919617602552043,1
069f43616fab,152,0,6,0,29,0.8237133859555846,1
06b71823f9cd,65,0,2,9,1,0.6164373645249683,1
06be1092a062,48,0,10,0,29,0.5491743486973948,0
07083738b75e,6,0,12,0,49,0.7740303464070999,1
0709652336e2,229,0,8,0,15,0.6316252096028792,0
070d4ce5fd90,136,0,9,0,29,0.5890148460185677,0
070f67572d03,28,0,9,1,35,1.0,1
07122e268a1d,93,0,6,0,24,0.9076073780213488,1
071435a218ec,1,0,17,2,70,0.9471692773301706,1
07419eddd6be,1,0,6,0,66,0.4111055580548852,1
07596907347b,257,0,11,0,74,1.0,0
0773a1c326ad,84,0,9,4,44,0.6793978160402437,0
07751b94a88a,7,0,27,1,73,1.0,0
0790515cf5af,1,0,18,1,103,1.0,0
07929d32b5b3,23,0,9,8,19,0.7019981937284816,1
07a0be6b347f,141,0,13,0,54,0.935937507668398,0
07a0e34c8d20,117,0,11,2,22,0.4338834102220269,1
07a1c7073982,12,0,18,4,33,0.4005618851744304,1
07a2b8cabf6b,22,0,24,4,85,1.0,0
07a3be30563b,3,0,19,8,76,0.7977978814772402,1
07d8db76b301,0,0,11,0,35,0.5891190544354015,1
07e827469099,74,0,5,0,25,0.8639953376140035,0
07f5d7baf907,38,0,16,7,29,1.0,0
08037e4490e5,52,0,6,0,9,0.5535433315610813,0
080ee76c958c,41,0,2,2,20,0.6777473313974889,1
080f66eedfb9,26,0,9,0,60,1.0,1
084c02cf077f,235,0,6,0,16,0.5658084331929165,0
0851d6a69589,2,0,24,4,71,1.0,0
086d41d17da8,0,0,16,1,34,0.75724322113615,1
08752092140d,84,0,13,4,12,0.7946410371763936,1
08a3875063c3,0,0,22,5,80,1.0,1
08b6e3240858,71,0,10,1,12,0.52439225799671,0
08bef347f40d,47,0,20,2,53,1.0,0
08c17a2d95b7,361,0,12,5,21,0.4586798473240527,1
08c60c647673,41,0,14,1,40,0.4544899278310059,0
08ee569d4721,1,0,26,3,156,1.0,0
08f8838d69bb,48,0,18,2,67,1.0,0
09237bf783a4,80,0,22,5,74,1.0,0
0924cec998fa,173,0,14,1,27,0.5890629422109526,0
093a42649c29,1,0,14,10,60,0.6242395812032228,1
093cf723fede,133,0,12,0,51,0.965649012310335,0
094858f005ab,20,0,4,1,47,0.6981800335364606,1
0953c0ac1735,49,0,10,0,42,1.0,1
096436d68d06,386,0,14,1,52,0.5724996055416954,0
09662e462531,127,0,6,5,38,1.0,0
0981195eb9fb,74,0,2,9,18,0.6038637274549098,1
099021fac3c9,94,0,10,1,30,0.3449784466892969,0
09934421c79e,38,0,8,2,26,0.343856202200319,0
09935d72892b,13,0,12,0,25,0.3632310205387033,1
09c8323c612e,24,0,18,1,149,1.0,0
09eeafa9656a,3,0,14,3,17,1.0,1
09f1111a388a,59,0,10,2,43,0.4494095946996032,0
09f6ab477654,34,0,12,0,28,1.0,1
0a09aa7356c0,83,0,13,1,29,0.3551761255013987,1
0a1076183736,30,0,6,5,24,0.6916125311848186,1
0a3202889f4d,75,0,4,1,34,0.9665921230215532,1
0a38b552372d,2,0,42,0,174,1.0,0
0a4e1a29ffff,139,0,16,1,70,1.0,0
0a61bddab956,20,0,12,0,53,1.0,1
0a74c92e287c,93,0,13,1,40,0.4673987975951904,0
0a85a1e8f9e9,25,0,20,3,37,1.0,0
0a902c80d5da,0,0,21,0,92,0.8599241747781274,0
0a9ec1e99ce4,217,0,11,0,26,0.4772698595517562,1
0abf0c485f66,160,0,4,0,28,0.5567867980859679,0
0ac436400db4,2,0,13,8,58,0.4669033577358799,1
0ad7f631dedb,5,0,16,2,52,1.0,1
0ada12c0e78f,133,0,5,8,23,0.5984643144444655,1
0ae2dd2e09ea,14,0,13,0,102,0.8073412972597422,0
0af296d2f04a,1,0,15,8,74,1.0,1
0afbeeef0ff7,37,0,16,2,116,1.0,0
